resource,feed_resource,tier,category,name,status,detail,note
Property,Property,Key Data Point,requirement,Active Listings Count,COUNT,4028 matching records (live query),
Property,Property,Key Data Point,requirement,Pending Listings Count,COUNT,700 matching records (live query),
Property,Property,Key Data Point,requirement,Sold Listings Count,COUNT,119495 matching records (live query),
Property,Property,Key Data Point,requirement,Rental Count,COUNT,4187 matching records (live query),
Property,Property,Key Data Point,requirement,Land Count,COUNT,58894 matching records (live query),
Property,Property,Key Data Point,requirement,Contingent Status (Y/N),PASS,"StandardStatus lookup declares ActiveUnderContract, Active Under Contract (RESO Lookup resource)",
Property,Property,Key Data Point,requirement,Foreclosure Badge (Y/N),PASS,SpecialListingConditions lookup declares Real Estate Owned (RESO Lookup resource),
Property,Property,Key Data Point,requirement,Short Sale (Y/N),FAIL,SpecialListingConditions present but its Lookup has no Short Sale/ShortSale value,
Property,Property,Key Data Point,requirement,Room Dimensions (Y/N),PASS,"RoomArea, RoomWidth, RoomLength present in Room metadata",
Property,Property,Key Data Point,requirement,Room Location (Y/N),PASS,"RoomLevel, RoomType present in Room metadata",
Property,Property,Key Data Point,requirement,Bedroom Features (Y/N),VERIFY,verify with MLS,
Property,Property,Key Data Point,requirement,Coming Soon Status (Y/N),PASS,"StandardStatus lookup declares ComingSoon, Coming Soon (RESO Lookup resource); live count not trustworthy (feed ignored $filter (returned the unfiltered total 223720); count not trustworthy — confirm in warehouse)",
Property,Property,1,field,ClosePrice,PASS,populated in 6/50 sampled rows,
Property,Property,1,field,CloseDate,PASS,populated in 6/50 sampled rows,
Property,Property,1,field,InternetAddressDisplayYN,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,PublicRemarks,PASS,populated in 50/50 sampled rows,
Property,Property,1,field,BuyerAgentKey,PASS,populated in 6/50 sampled rows,
Property,Property,1,field,VirtualTourURLUnbranded,PASS,populated in 14/50 sampled rows,
Property,Property,1,field,NewConstructionYN,PASS,populated in 41/50 sampled rows,
Property,Property,1,field,AssociationFee,PASS,populated in 42/50 sampled rows,
Property,Property,1,field,AssociationAmenities,PASS,populated in 2/50 sampled rows,
Agent,Member,Key Data Point,requirement,Agent Count,COUNT,2928 matching records (live query),
Office,Office,Key Data Point,requirement,Office Count,COUNT,563 matching records (live query),
OpenHouse,OpenHouse,Key Data Point,requirement,Open House Count,COUNT,303 matching records (live query),
OpenHouse,OpenHouse,Key Data Point,requirement,Livestream Open House (Y/N),PASS,"OpenHouseType lookup declares Livestream (as 'livestreambroker'), Live Stream (as 'livestreambroker') (RESO Lookup resource)",
OpenHouse,OpenHouse,1,field,OpenHouseKey,PASS,populated in 50/50 sampled rows,
